id	districtId	name	nameEn	slug
7189	899	ระบำ	Rabam	rabam
7190	899	ลานสัก	Lan Sak	lan-sak
7191	900	บ่อยาง	Bo Yang	bo-yang
7192	900	ไผ่เขียว	Phai Khiao	phai-khiao
7193	900	พลวงสองนาง	Phluang Song Nang	phluang-song-nang
7194	900	สว่างอารมณ์	Sawang Arom	sawang-arom
7195	900	หนองหลวง	Nong Luang	nong-luang
7196	901	ดงขวาง	Dong Khwang	dong-khwang
7197	901	ดอนกลอย	Don Kloi	don-kloi
7198	901	ท่าโพ	Tha Pho	tha-pho
7199	901	ทุ่งพึ่ง	Thung Phueng	thung-phueng
7200	901	หนองขาหย่าง	Nong Khayang	nong-khayang
7201	901	หนองไผ่	Nong Phai	nong-phai
7202	901	หมกแถว	Mok Thaeo	mok-thaeo
7203	901	หลุมเข้า	Lum Khao	lum-khao
7204	901	ห้วยรอบ	Huai Rop	huai-rop
7205	902	เขากวางทอง	Khao Kwang Thong	khao-kwang-thong
7206	902	เขาบางแกรก	Khao Bang Kraek	khao-bang-kraek
7207	902	ทุ่งพง	Thung Phong	thung-phong
7208	902	ทุ่งโพ	Thung Pho	thung-pho
7209	902	บ้านเก่า	Ban Kao	ban-kao
7210	902	หนองฉาง	Nong Chang	nong-chang
7211	902	หนองนางนวล	Nong Nang Nuan	nong-nang-nuan
7212	902	หนองยาง	Nong Yang	nong-yang
7213	902	หนองสรวง	Nong Suang	nong-suang
7214	902	อุทัยเก่า	Utai Kao	utai-kao
7215	903	ทองหลาง	Thong Lang	thong-lang
7216	903	สุขฤทัย	Suk Ruethai	suk-ruethai
7217	903	ห้วยคต	Huai Khot	huai-khot
7218	904	กาบิน	Ka Bin	ka-bin
7219	904	แก่งเค็ง	Kaeng Kheng	kaeng-kheng
7220	904	ข้าวปุ้น	Khao Pun	khao-pun
7221	904	โนนสวาง	Non Sawang	non-sawang
7222	904	หนองทันน้ำ	Nong Than Nam	nong-than-nam
7223	905	แก้งเหนือ	Kaeng Nuea	kaeng-nuea
7224	905	ขามป้อม	Kham Pom	kham-pom
7225	905	เขมราฐ	Khemarat	khemarat
7226	905	เจียด	Chiat	chiat
7227	905	นาแวง	Na Waeng	na-waeng
7228	905	หนองนกทา	Nong Nok Tha	nong-nok-tha
7229	905	หนองผือ	Nong Phue	nong-phue
7230	905	หนองสิม	Nong Sim	nong-sim
7231	905	หัวนา	Hua Na	hua-na
7232	906	กลางใหญ่	Klang Yai	klang-yai
7233	906	ก่อเอ้	Ko E	ko-e
7234	906	เขื่องใน	Khueang Nai	khueang-nai
7235	906	ค้อทอง	Kho Thong	kho-thong
7236	906	ชีทวน	Chi Thuan	chi-thuan
7237	906	แดงหม้อ	Daeng Mo	daeng-mo
7238	906	ท่าไห	Tha Hai	tha-hai
7239	906	ธาตุน้อย	That Noi	that-noi
7240	906	นาคำใหญ่	Na Kham Yai	na-kham-yai
7241	906	โนนรัง	Non Rang	non-rang
7242	906	บ้านกอก	Ban Kok	ban-kok
7243	906	บ้านไทย	Ban Thai	ban-thai
7244	906	ยางขี้นก	Yang Khi Nok	yang-khi-nok
7245	906	ศรีสุข	Si Suk	si-suk
7246	906	สร้างถ่อ	Sang Tho	sang-tho
7247	906	สหธาตุ	Sahathat	sahathat
7248	906	หนองเหล่า	Nong Lao	nong-lao
7249	906	หัวดอน	Hua Don	hua-don
7250	907	โขงเจียม	Khong Chiam	khong-chiam
7251	907	นาโพธิ์กลาง	Na Pho Klang	na-pho-klang
7252	907	หนองแสงใหญ่	Nong Saeng Yai	nong-saeng-yai
7253	907	ห้วยไผ่	Huai Phai	huai-phai
7254	907	ห้วยยาง	Huai Yang	huai-yang
7255	908	คำไฮใหญ่	Kham Hai Yai	kham-hai-yai
7256	908	ดอนมดแดง	Don Mot Daeng	don-mot-daeng
7257	908	ท่าเมือง	Tha Muaeng	tha-muaeng
7258	908	เหล่าแดง	Lao Daeng	lao-daeng
7259	909	กลาง	Klang	klang
7260	909	กุดประทาย	Kut Prathai	kut-prathai
7261	909	แก้ง	Kaeng	kaeng
7262	909	คำครั่ง	Kham Khrang	kham-khrang
7263	909	ตบหู	Top Hu	top-hu
7264	909	ท่าโพธิ์ศรี	Tha Pho Si	tha-pho-si
7265	909	ทุ่งเทิง	Thung Thoeng	thung-thoeng
